Exemplo,Descrição Original,JSON Válido Encontrado,Tentativas,Tempo Geração JSON (s),Taxa de Erro Sintático (%),Cobertura de Requisitos (%),Complexidade Estrutural (%),GED Similaridade Heurística (%)
1,"After management indicates that new clients are needed, the marketing team will perform a market analysis and prepare a portfolio presentation.
When they have sent out offers to potential clients the marketing team informs management about the responses.
Management then starts negotiations by sending out a detailed offer to the client.
If the client accepts the offer, management will prepare a contract that will be signed.
Otherwise, management analyzes the reason why their offer failed in order to improve in the future.",True,1,136.86094188690186,0.0,76.63760781288147,12.5,64.28571428571428
2,"The credit company receives the credit information from the customer, If the requested amount is greater than 1M$ an approval must be requested.
If the requested amount is lower or equal to 1M$ the company assess the risk of the credit.
After the assessment, if the risk is high, an approval must be requested; but if the risk is low the credit is accepted.
After the approval request, the credit could be accepted or rejected; in both cases, an email is sent to the customer. 
The credit company collects the credit information from the customer, If the requested amount is greater than 1M$ an approval must be requested.
If the requested amount is lower or equal to 1M$ the company assess the risk of the credit.
After the assessment, if the risk is high, an approval must be requested; but if the risk is low the credit is accepted.
After the approval request, the credit could be accepted or rejected; in both cases, an email is sent to the customer.
The credit company collects the credit information from the customer, If the requested amount is lower or equal to 1M$ the company assess the risk of the credit.
After the assessment, if the risk is low the credit is accepted.
If the requested amount is greater than 1M$ or the risk of the credit is high, an approval must be requested.
After the approval request, the credit could be accepted or rejected; in both cases, an email is sent to the customer.",True,1,177.7362415790558,0.0,60.630154609680176,14.285714285714285,65.0
3,"If goods shall be shipped, the secretary clarifies who will do the shipping.
If you have large amounts, special shipping will be necessary.
In these cases the secretary invites three logistic companies to make offers and she selects one of them.
In case of small amounts, normal post shipment is used.
Therefore a package label is written by the secretary and a parcel insurance taken by the logistics department head if necessary.
In the meantime the goods can be already packaged by the warehousemen.
If everything is ready, the packaged goods are prepared for being picked up by the logistic company.",True,1,123.29253077507019,0.0,72.90512323379517,11.11111111111111,69.38775510204081
4,"The examination process can be summarised as follows. The process starts
when the female patient is examined by an outpatient physician, who decides
whether she is healthy or needs to undertake an additional examination. In the
former case, the physician fills out the examination form and the patient can
leave. In the latter case, an examination and follow-up treatment order is placed
by the physician who additionally fills out a request form. Beyond information
about the patient, the request form includes details about the examination 
requested and refers to a suitable lab. Furthermore, the outpatient physician
informs the patient about potential risks. If the patient signs an informed consent
and agrees to continue with the procedure, a delegate of the physician
arranges an appointment of the patient with one of the wards. The latter is
then responsible for taking a sample to be analysed in the lab later. Before the
appointment, the required examination and sampling is prepared by a nurse of
the ward based on the information provided by the outpatient section. Then, a
ward physician takes the sample requested. He further sends it to the lab indicated
in the request form and conducts the follow-up treatment of the patient.
After receiving the sample, a physician of the lab validates its state and decides
whether the sample can be used for analysis or whether it is contaminated and
a new sample is required. After the analysis is performed by a medical technical
assistant of the lab, a lab physician validates the results. Finally, a physician
from the outpatient department makes the diagnosis and prescribes the therapy
for the patient.",True,1,178.45104837417603,0.0,54.94605898857117,10.0,55.072463768115945
5,"The Evanstonian is an upscale independent hotel. When a guest calls room service at The Evanstonian, the room-service manager takes down the order. She then submits an order ticket to the kitchen to begin preparing the food. She also gives an order to the sommelier (i.e., the wine waiter) to fetch wine from the cellar and to prepare any other alcoholic beverages. Eighty percent of room-service orders include wine or some other alcoholic beverage. Finally, she assigns the order to the waiter. While the kitchen and the sommelier are doing their tasks, the waiter readies a cart (i.e., puts a tablecloth on the cart and gathers silverware). The waiter is also responsible for nonalcoholic drinks. Once the food, wine, and cart are ready, the waiter delivers it to the guest’s room. After returning to the room-service station, the waiter debits the guest’s account. The waiter may wait to do the billing if he has another order to prepare or deliver.",True,1,254.4599244594574,0.0,64.97568488121033,9.848484848484848,65.78947368421053
6,"In a certain company an Invoice process is started.
First the Vendor is tried to be located into the SAP system of the company.
If it is not possible to find it a sub-process to record this new Vendor is started.
The request for this new Vendor Record starts with the filling of the new Vendor Master Record form.
After this, the request is attached to the invoice and then putted in an internal outbox for new vendors.
Before the request is finished it is classified in urgent and non-urgent invoices.
Whenever the Invoice is urgent this Request has a maximum 24 hr window to be finished, while if it is non-urgent it has a 1-5 working days time to be done.
If the Vendor is already in the system or the request for new Vendor Record has finished, its SAP number is then added to the invoice and the process continues.
The invoices can be sorted in two ways: by amount and by vendor.
The invoices are then entered in the SAP system and the process is finished.",True,1,453.0758526325226,0.0,58.41243267059326,5.555555555555555,93.33333333333333
7,"Every time we get a new order from the sales department, first, one of my masters determines the necessary parts and quantities as well as the delivery date. Once that information is present, it has to be entered into our production planning system (PPS). It optimizes our production processes and creates possibly uniform work packages so that the setup times are minimized. Besides, it creates a list of parts to be procured. Unfortunately it is not coupled correctly to our Enterprise Resource Planning system (ERP), so the data must be transferred manually. By the way, that is the second step. Once all the data is present, we need to decide whether any parts are missing and must be procured or if this is not necessary. Once production is scheduled to start, we receive a notice from the system and an employee takes care of the implementation. Finally, the order will be checked again for its quality.",True,1,73.818199634552,0.0,61.422085762023926,16.666666666666664,70.96774193548387
8,"This process describes how purchases work at the ACME Inc company.
A purchase is initiated by a demand identified within a department.
If there are enough goods in stock to satisfy this demand, then they are consumed locally and no further action is required.
Otherwise, the department defines which type of goods are needed and the necessary amounts and a purchase requisition is created in the ERP system.
This purchase requisition is processed by the Central procurement department.
First, the purchase requisition is checked on the ERP system to see whether the supplier information is available.
If this is a new supplier, first it has to be created within the ERP system.
Once it is created (or it if was already a known supplier), the purchase requisition is used to create an order template in the ERP system.
The final step in the process is the approval of this order, which is granted by another role, called ""approver"".
After receiving the new order template from the ERP system, he approves and triggers the purchase order.",False,5,161.54070568084717,100.0,0.0,0.0,0.0
9,"If an insurant could be possibly subrogated against, I get information about that.
I check that case and if the possibility is really there, I send a request for payment to the insurant and make me a reminder.
If recourse is not possible, I close the case.
When we receive the money, I make a booking and close the case.
If the insurant disagrees with the recourse, I’ll have to check the reasoning of that.
If he is right, I simply close the case. 
If he is wrong, I forward the case to a collection agency.
It the deadline for disagreement is reached and we haven’t received any money, I forward the case to the collection agency as well.",False,5,320.0508577823639,100.0,0.0,0.0,0.0
10,"The process starts with the Provision Team receiving a request from a Customer.
First, the team has to identify the necessary parts.
If the team has any question about the request, they may ask for more information to the customer.
Afterwards, the team needs to check if all parts are available.
If available, they are supplied to the customer.
Otherwise, the team must record the petition, make an order to Daisuki, and contact the customer once the team collects all parts.
After the items are recollected by the customer, the final payment is received.",True,1,106.64041471481323,0.0,65.98005294799805,16.666666666666664,65.11627906976744
11,"The process starts with an informational meeting among the web design team.
If this meeting is not successful, the process ends here.
Otherwise, the team starts by creating a storyboard.
After an agreement on the storyboard, part of the team starts working on the design and development of the website.
Simultaneously, the team will start to prepare an initial draft of the content.
In case a review of the draft is needed, the marketing team will conduct this, before the web design team creates the final version of the content.
When the development and content have been completed, the website will be built and reviewed.
If the site is approved, the process is completed, otherwise the team goes back to the building step.",True,1,131.8186502456665,0.0,74.95985627174377,12.5,62.06896551724138
